Vulnerability ID,Vulnerability Name,FIELD3,FIELD4,FIELD5,FIELD6,FIELD7,FIELD8,FIELD9,FIELD10,FIELD11,FIELD12,FIELD13,FIELD14,FIELD15,FIELD16,FIELD17,FIELD18,FIELD19,FIELD20,FIELD21,FIELD22,FIELD23,FIELD24,FIELD25,FIELD26,FIELD27,FIELD28,FIELD29,FIELD30,FIELD31,FIELD32,FIELD33,FIELD34,FIELD35,FIELD36,FIELD37,FIELD38,FIELD39,FIELD40,FIELD41,FIELD42,FIELD43,FIELD44,FIELD45,FIELD46,FIELD47,FIELD48,FIELD49,FIELD50
34,Unsafe password recovery procedure,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Programming modification/reconfiguration,20,59,60,61,62,63,104,105,107,108,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,No lock-out or delaying measures to protect accounts against brute-force attacks,23,26,71,77,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Existence of a kill command that permanently disables device,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Ignoring certificate revocation lists,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Unchecked resource buffers,20,24,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Insecure 3rd party APIs,20,24,50,60,61,62,74,75,77,78,79,80,104,107,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Unencrypted local storage,1,3,48,77,78,79,80,83,88,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Administration interface contains common web application/management console vulnerabilities,20,24,48,49,50,51,52,53,54,55,56,57,58,59,74,75,81,82,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Unnecessary privileges,1,20,79,80,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Exposed services on open ports,2,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Unnecessary or unused services and applications,1,2,19,20,22,23,24,26,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,79,80,85,,,,,,,,,,,,,,,,,,,,,
46,Insecure boot process,51,52,53,55,56,57,58,59,61,85,104,105,107,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,No update mechanism,20,24,48,49,50,51,52,53,54,55,59,60,61,62,63,102,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,No automated update mechanism,20,24,48,49,50,51,52,53,54,55,59,60,61,62,63,102,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,No manual update mechanism,20,24,48,49,50,51,52,53,54,55,59,60,61,62,63,102,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,No encryption on all updates,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,No integrity check on all updates,42,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,No authenticity check on all updates,42,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,No physical security (i.e. physical barriers- locks or access controls),86,87,88,110,111,113,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,No hardware tamper protection,3,4,7,21,25,110,111,112,113,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,No control of sensor environment (e.g. can blind a camera- or put a heat source in front of a temperature sensor),89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Removable media,1,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Reset switch leading to insecure state,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,In production or integration supply chain (i.e. use of faulty component),3,4,7,21,25,110,111,112,113,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,In deployment infrastructure (i.e. power failure),3,4,7,21,25,110,111,112,113,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
