FIELD1,FIELD2,FIELD3,Threat Actor,State Sponsored (Nation State),Idealogically Motivated (Hacktivist),Financially Motivated
76,Application Logic Flaws,Abuse Existing Functionality,Application Logic Flaws,0.75,0,0
77,Authentication Abuse,Subvert Access Control (Unauthorized access),Authentication Abuse,0.95,0,0
78,Authentication Bypass,Subvert Access Control (Unauthorized access),Authentication Bypass,0.75,0,0
79,Accessing Functionality Not Properly Constrained by ACLs,Subvert Access Control (Unauthorized access),Privilege Abuse,0.95,0,0
80,Exploiting Incorrectly Configured Access Control Security Levels,Subvert Access Control (Unauthorized access),Privilege Abuse,0.95,0,0
81,Session Credential Falsification through Forging,Subvert Access Control (Unauthorized access),Exploitation of Trusted Credentials,0.75,0,0
82,SaaS User Request Forgery,Subvert Access Control (Unauthorized access),Exploitation of Trusted Credentials,0.75,0,0
83,Use of Known Domain Credentials,Subvert Access Control (Unauthorized access),Exploitation of Trusted Credentials,0.9,0,0
84,Session Hijacking,Subvert Access Control (Unauthorized access),Exploitation of Trusted Credentials,0.75,0,0
85,Cross Site Request Forgery,Subvert Access Control (Unauthorized access),Exploitation of Trusted Credentials,0.75,0,0
86,Bypassing Physical Locks,Subvert Access Control (Unauthorized access),Bypassing Physical Security,0.33,0,0
87,Bypassing Physical Access Controls,Subvert Access Control (Unauthorized access),Bypassing Physical Security,0.33,0,0
88,Physical Theft,Subvert Access Control (Unauthorized access),Bypassing Physical Security,0.33,0,0
89,Contaminate physical environment,Manipulate System Resources,Contaminate physical environment,0.33,0,0
90,Cache Poisoning,Manipulate System Resources,Infrastructure Manipulation,0.75,0,0
91,Logging Obstruction: Audit Log Manipulation,Manipulate System Resources,Infrastructure Manipulation,0.55,0,0
92,Logging Obstruction: Block Logging to Central Repository,Manipulate System Resources,Infrastructure Manipulation,0.55,0,0
93,Network Routing Obstruction: Selective forwarding (neglect and greed attack),Manipulate System Resources,Infrastructure Manipulation,0.5,0,0
94,Network Routing Obstruction: Black hole attack,Manipulate System Resources,Infrastructure Manipulation,0.5,0,0
95,Jamming/blocking communication: Spot jamming,Manipulate System Resources,Infrastructure Manipulation,0.33,0,0
96,Jamming/blocking communication: Sweep jamming,Manipulate System Resources,Infrastructure Manipulation,0.33,0,0
97,Jamming/blocking communication: Barrage jamming,Manipulate System Resources,Infrastructure Manipulation,0.33,0,0
98,Jamming/blocking communication: Deceptive jamming,Manipulate System Resources,Infrastructure Manipulation,0.33,0,0
99,Interference: Data Link Layer Collision,Manipulate System Resources,Infrastructure Manipulation,0.33,0,0
100,Interference: Data Link Layer Unfairness,Manipulate System Resources,Infrastructure Manipulation,0.33,0,0
101,Interference: Radio frequency interference,Manipulate System Resources,Infrastructure Manipulation,0.33,0,0
102,Force the System to Reset Values,Manipulate System Resources,Configuration/Environment Manipulation,0.33,0,0
103,KILL command - permanently disables device,Manipulate System Resources,Configuration/Environment Manipulation,0.33,0,0
104,Data Injected During Configuration,Manipulate System Resources,Configuration/Environment Manipulation,0.75,0,0
105,Manipulating Writeable Configuration Files,Manipulate System Resources,Configuration/Environment Manipulation,0.75,0,0
106,Disable Security Software,Manipulate System Resources,Configuration/Environment Manipulation,0.75,0,0
107,Programming modi cation/recon guration,Manipulate System Resources,Software Manipulation,0.82,0,0
108,Malware/malicious code Inserted Into To Product Software,Manipulate System Resources,Software Manipulation,0.75,0,0
109,Modify- insert- or delete data in processing and storage,Manipulate System Resources,Software Manipulation,0.75,0,0
110,Physical removal- disabling- incapacitation- or destruction of device or Component,Manipulate System Resources,Hardware Tampering,0.33,0,0
111,Physical data/circuitry modification,Manipulate System Resources,Hardware Tampering,0.33,0,0
112,Malicious Hardware Component Update,Manipulate System Resources,Hardware Tampering,0.33,0,0
113,RFID tag cloning,Manipulate System Resources,Hardware Tampering,0.33,0,0
114,RFID tag swapping,Manipulate System Resources,Hardware Tampering,0.33,0,0
